Name,Address,Contact Info,Type of Business,type_dc_categories,SSL,Use Code,"Owner Name 
(as listed in https://mytax.dc.gov/_/#10)",Owner Type,Most Recent Sale_year,Most Recent Sale_amt,Most Recent Sale Notes,Land Area,Tax Class,Land Value - 2025,Building Value - 2025,Assessment Value (Total),Tax Relief,
Good Hope Carry Out,1350 Good Hope Rd SE,(202) 678-7383,Restaurant,Food Services,Not found,,,,,,,,,,,,,
Good Hope Deli and Market,1736 Good Hope Rd SE,,Convenience Store,Food Services,5612- -0826,042 - Store-Miscellaneous,JANE SHIN TRUSTEE,Individuals,2019,,"Sales Code:
Buyer = Seller
Sales Type:
Improved","19,477",2 - Commercial,786090,642700,1428790,None,
Grounded,1913 Martin Luther King Jr Ave SE,,Cafe & Retail,General Sales/Services Business,5770- -0840,042 - Store-Miscellaneous,"1113 GOOD HOPE ROAD SE LLC
MLK GATEWAY PHASE II LAND LLC","Real Estate Investment Company, Government - DC",,,,"32,875",2 - Commercial,2069120,29761960,31831080,None,
Jasmine's hair gallery ,2202 Martin Luther King Jr Ave SE,,Hair Salon / Barber Shop,"Beauty & Grooming Services (barber shop, hair salon, etc.)",5791- -0011,042 - Store-Miscellaneous,"NELSON, DELMUS
NELSON, DELMUS J",Individuals,2024,,"Sales Code:
Buyer = Seller
Sales Type:
Improved","2,360",2 - Commercial,146150,412390,558540,None,
Kinara Healthcare Services,2027 Martin Luther King Jr Ave SE,https://kinarahcs.com/,Health Services,Health Services,5772- -1017,042 - Store-Miscellaneous,CURTIS PROPERTIES INC,Real Estate Investment Company,1997,,,"2,400",2 - Commercial,148560,365030,513590,None,
King City Restaurant,2403 Martin Luther King Jr. Ave SE,(202) 889-6337,Restaurant,Food Services,5789- -0018,042 - Store-Miscellaneous,HMB MANAGEMENT LLC,,2013,290000,,"3,250",2 - Commercial,198840,278860,477700,None,
King's Cafe,2100 Martin Luther King Jr. Ave SE,(202) 889-0333,Restaurant,Food Services,5782- -0843,052 - Commercial-Office (Large),2100 MARTIN LUTHER KING ASSOCIATES LIMITED PARTNERSHIP,,,,,"28,507",2 - Commercial,2638610,16730450,19369060,None,
Kitchen Savages,1211 Good Hope Rd SE,(202) 931-1782,Restaurant,Food Services,5769- -1020,049 - Commercial-Retail (Miscellaneous),District of Columbia,Government - DC,,,,"13,236",2 - Commercial,1794540,7658520,9453060,None,
Mama's Pizza Kitchen,2028 Martin Luther King Jr Ave SE,202-734-3763,Restaurant,Food Services,5773- -0811,042 - Store-Miscellaneous,"SHAW, SYLVESTER",Individuals,,,,"1,530",2 - Commercial,107680,462130,569810,None,
Meridian Weight Loss Food Bar,"1736 Marion Barry Ave SE, Washington, DC",,Health Services,Health Services,5612- -0826,042 - Store-Miscellaneous,JANE SHIN TRUSTEE,Individuals,2019,,"Sales Code:
Buyer = Seller
Sales Type:
Improved","19,477",2 - Commercial,786090,642700,1428790,None,
MLK Gyro and Kabob,2122 Martin Luther King Jr. Ave SE,(202) 355-0100,Restaurant,Food Services,5782- -0078,042 - Store-Miscellaneous,2122 MLK LLC,,2018,404517,"Sales Code:
Buyer = Seller
Sales Type:
Improved","3,120",3 - Vacant,191220,234590,425810,None,
Moon Bounce and Party Rentals ,1429 Marion Barry Ave SE,,Entertainment,General Sales/Services Business,5767- -0313,042 - Store-Miscellaneous,NYA HEALTH SERVICES INC.,Other Business = Owner,2024,1046000,,"3,120",2 - Commercial,191220,570190,761410,None,
Nam's Market (The Blue Store),1327 W St SE,"(202) 889-0679
Number went to someone who didn't speak english and didnt seem to be in the store",Convenience Store,General Sales/Services Business,5793- -0853,041 - Store-Small (1 Story),"GONG JU LEE
YOUNG SOO AHN",Individuals,2011,70000,,,,,,,,
Niche by Nubian Hueman,1241 Marion Barry Ave SE,(202) 631-6291/service@nubianhueman.com,Apparel and more,General Sales/Services Business,5769- -0803,042 - Store-Miscellaneous,"HONFLEUR LIMITED
",,2011,,,"2,340",2 - Commercial,144940,333830,478770,None,
Nomad Shop DC,2026 Martin Luther King Jr Ave SE,(202) 313-7670,Tobacco Shop,General Sales/Services Business,5773- -0810,042 - Store-Miscellaneous,"NGUYEN, HUE THI",Individuals,2002,53000,,"1,274",2 - Commercial,96020,390710,486730,None,
Open Crumb,1243 Good Hope Rd SE,"(202) 610-9979
info@opencrumbdc.com
",Restaurant,Food Services,5769- -1016,042 - Store-Miscellaneous,GOODHOPE MANAGEMENT LLC,,2011,250000,,"2,288",2 - Commercial,141830,318380,460210,None,
Paola's Breakfast and Fry Chicken,1918 14th St SE,(202) 889-4444,Restaurant,Food Services,5767- -1019,044 - Store-Shopping Center-Mall,GOOD HOME INVESTMENTS LLC,Real Estate Investment Company,2012,2835000,,"37,440",2 - Commercial,1511080,2533940,4045020,None,
PJ's Barbers and Stylists,"2410 Martin Luther King Jr Ave SE, Washington, DC 20020",202-678-3195,Barber and Hair Stylists,"Beauty & Grooming Services (barber shop, hair salon, etc.)",NOT FOUND,,"Note: according to Kristina Noell, PJ owns her space",,,,,,,,,,,
Project Create Arts Center ,2208 Martin Luther King Jr. Ave,(202) 889 - 0655,Arts Center,Not For-Profit Business (nonprofit entity),5791- -0819,042 - Store-Miscellaneous,PROJECT CREATE,Business = Owner,2020,1400000,,"2,714",2 - Commercial,167260,1140930,1308190,None,
Teyarna's Touch,"2041 Martin Luther King Jr Ave SE Suite 106, Washington, DC 20020",information page on website,Massage Therapist,"Regulated Business (funeral home, health spa, auto repair)",5772- -1019,052 - Commercial-Office (Large),ANACOSTIA PROFESSIONAL BUILDING REVOCABLE TRUST,,2007,,,"50,864",2 - Commercial,4708480,16722040,21430520,None,
The Kitchen Physician,"1736 Marion Barry Ave SE, Washington, DC",(202) 809-3661,Alternative and Holistic Health Service,General Sales/Services Business,5612- -0826,042 - Store-Miscellaneous,JANE SHIN TRUSTEE,Individuals,2019,,"Sales Code: 
Buyer = Seller 
Sales Type: 
Improved","19,477",2 - Commercial,"$786,090.00 ","$642,700.00 ","$1,428,790.00 ",None,
Tony's Place DC,1400 Good Hope Rd SE,(202) 678-6633,Restaurant,Food Services,Not found,,,,,,,,,,,,,
Turning Natural,"2025 Martin Luther King Jr Ave SE, Washington, DC 20020",info@turningnatural.com,Juice Shop,Food Services,5772- -0831,042 - Store-Miscellaneous,"WHITE, H S
WHITE, T A",Individuals,,,,"2,400",2 - Commercial,148560,277800,426360,None,
Zemen Market,,,Convenience Store,General Sales/Services Business,No address to search,,,,,,,,,,,,,
